Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM
r		 h		 pot		 2		 2		 3
r		 h		 pot		 3		 3		 4
r		 h		 pot		 2		 1		 5
r		 h		 pot		 5		 3		 1
r		 h		 kld		 2		 1		 1
r		 h		 kld		 4		 2		 2
r		 h		 kld		 2		 2		 0
r		 h		 kld		 4		 1		 4
r		 j		 pot		 4		 2		 0
r		 j		 pot		 3		 2		 1
r		 j		 pot		 1		 3		 0
r		 j		 pot		 3		 3		 2
r		 j		 kld		 4		 1		 0
r		 j		 kld		 3		 1		 3
r		 j		 kld		 1		 1		 1
r		 j		 kld		 1		 3		 2
################################
################################
p		 j		 pot		 3		 3		 1
p		 j		 pot		 2		 2		 2
p		 j		 pot		 4		 1		 1
p		 j		 pot		 2		 3		 0
p		 j		 kld		 3		 2		 1
p		 j		 kld		 3		 2		 2
p		 j		 kld		 4		 2		 3
p		 j		 kld		 3		 2		 2
p		 h		 pot		 1		 3		 1
p		 h		 pot		 4		 2		 2
p		 h		 pot		 3		 3		 5
p		 h		 pot		 1		 3		 4
p		 h		 kld		 3		 1		 2
p		 h		 kld		 3		 1		 4
p		 h		 kld		 3		 2		 5
p		 h		 kld		 3		 1		 2
