Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM
p		 h		 pot		 2		 1		 4
p		 h		 pot		 1		 2		 1
p		 h		 pot		 4		 2		 2
p		 h		 pot		 1		 2		 1
p		 h		 kld		 1		 2		 2
p		 h		 kld		 3		 2		 4
p		 h		 kld		 4		 2		 4
p		 h		 kld		 4		 2		 3
p		 j		 pot		 1		 1		 3
p		 j		 pot		 1		 1		 1
p		 j		 pot		 1		 2		 0
p		 j		 pot		 2		 1		 3
p		 j		 kld		 3		 2		 1
p		 j		 kld		 3		 3		 0
p		 j		 kld		 4		 1		 0
p		 j		 kld		 4		 2		 3
################################
################################
r		 h		 pot		 5		 3		 0
r		 h		 pot		 1		 1		 1
r		 h		 pot		 5		 3		 0
r		 h		 pot		 4		 3		 2
r		 h		 kld		 4		 1		 3
r		 h		 kld		 4		 3		 4
r		 h		 kld		 2		 3		 2
r		 h		 kld		 3		 3		 5
r		 j		 pot		 4		 1		 3
r		 j		 pot		 4		 2		 2
r		 j		 pot		 1		 1		 0
r		 j		 pot		 5		 3		 3
r		 j		 kld		 5		 3		 0
r		 j		 kld		 4		 3		 0
r		 j		 kld		 1		 3		 0
r		 j		 kld		 2		 2		 2
