Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM

t0		 h		 tel		 1		 3		 2
t0		 h		 tel		 1		 1		 2
t0		 j		 tel		 1		 1		 5
t0		 j		 tel		 1		 1		 5
t0		 h		 blend		 1		 1		 6
t0		 j		 blend		 1		 2		 2
t0		 h		 but		 2		 3		 6
t0		 h		 but		 2		 3		 2
t0		 h		 but		 1		 1		 2
t0		 h		 but		 2		 1		 5
t0		 j		 but		 1		 1		 5
t0		 j		 but		 1		 1		 6
t0		 j		 but		 1		 2		 2
t0		 j		 but		 2		 3		 6
################################
################################
p		 j		 pot		 1		 1		 3
p		 j		 pot		 1		 1		 2
p		 j		 pot		 4		 3		 2
p		 j		 pot		 1		 3		 3
p		 j		 kld		 2		 1		 2
p		 j		 kld		 4		 2		 3
p		 j		 kld		 2		 3		 0
p		 j		 kld		 4		 1		 2
p		 h		 pot		 3		 1		 1
p		 h		 pot		 2		 1		 5
p		 h		 pot		 2		 1		 0
p		 h		 pot		 3		 3		 3
p		 h		 kld		 2		 2		 3
p		 h		 kld		 3		 1		 4
p		 h		 kld		 3		 2		 3
p		 h		 kld		 2		 3		 5
################################
################################
r		 j		 pot		 5		 2		 1
r		 j		 pot		 4		 1		 1
r		 j		 pot		 3		 3		 1
r		 j		 pot		 5		 1		 2
r		 j		 kld		 3		 2		 1
r		 j		 kld		 4		 3		 2
r		 j		 kld		 1		 1		 1
r		 j		 kld		 4		 1		 2
r		 h		 pot		 1		 1		 1
r		 h		 pot		 4		 3		 0
r		 h		 pot		 5		 3		 3
r		 h		 pot		 4		 1		 3
r		 h		 kld		 4		 1		 2
r		 h		 kld		 5		 1		 1
r		 h		 kld		 5		 2		 2
r		 h		 kld		 4		 2		 5
