Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM
p		 j		 pot		 3		 1		 0
p		 j		 pot		 1		 3		 0
p		 j		 pot		 1		 1		 3
p		 j		 pot		 3		 2		 1
p		 j		 kld		 2		 1		 1
p		 j		 kld		 3		 1		 0
p		 j		 kld		 2		 1		 0
p		 j		 kld		 4		 3		 2
p		 h		 pot		 3		 2		 1
p		 h		 pot		 3		 3		 1
p		 h		 pot		 3		 1		 1
p		 h		 pot		 1		 1		 4
p		 h		 kld		 2		 1		 1
p		 h		 kld		 2		 1		 1
p		 h		 kld		 1		 1		 2
p		 h		 kld		 3		 2		 3
################################
################################
r		 h		 pot		 3		 1		 4
r		 h		 pot		 3		 3		 0
r		 h		 pot		 3		 3		 2
r		 h		 pot		 1		 2		 4
r		 h		 kld		 4		 2		 4
r		 h		 kld		 5		 1		 1
r		 h		 kld		 2		 3		 0
r		 h		 kld		 3		 3		 3
r		 j		 pot		 3		 2		 2
r		 j		 pot		 3		 2		 0
r		 j		 pot		 5		 1		 2
r		 j		 pot		 4		 2		 3
r		 j		 kld		 2		 2		 3
r		 j		 kld		 5		 2		 0
r		 j		 kld		 3		 3		 1
r		 j		 kld		 4		 1		 3
