Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM
p		 j		 pot		 4		 3		 0
p		 j		 pot		 4		 3		 3
p		 j		 pot		 4		 1		 2
p		 j		 pot		 1		 3		 0
p		 j		 kld		 2		 2		 0
p		 j		 kld		 2		 3		 1
p		 j		 kld		 2		 3		 2
p		 j		 kld		 3		 1		 2
p		 h		 pot		 1		 2		 4
p		 h		 pot		 4		 1		 5
p		 h		 pot		 4		 3		 1
p		 h		 pot		 1		 2		 4
p		 h		 kld		 2		 1		 4
p		 h		 kld		 2		 3		 0
p		 h		 kld		 3		 1		 1
p		 h		 kld		 2		 2		 3
################################
################################
r		 h		 pot		 4		 1		 0
r		 h		 pot		 1		 1		 5
r		 h		 pot		 2		 2		 5
r		 h		 pot		 1		 2		 1
r		 h		 kld		 5		 2		 3
r		 h		 kld		 3		 2		 5
r		 h		 kld		 3		 3		 4
r		 h		 kld		 4		 2		 4
r		 j		 pot		 1		 2		 3
r		 j		 pot		 3		 1		 3
r		 j		 pot		 2		 3		 3
r		 j		 pot		 4		 2		 1
r		 j		 kld		 3		 2		 3
r		 j		 kld		 1		 2		 3
r		 j		 kld		 5		 3		 1
r		 j		 kld		 3		 3		 2
