Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM
p		 j		 pot		 2		 1		 1
p		 j		 pot		 3		 1		 3
p		 j		 pot		 2		 3		 3
p		 j		 pot		 2		 2		 2
p		 j		 kld		 1		 1		 3
p		 j		 kld		 2		 1		 3
p		 j		 kld		 1		 3		 1
p		 j		 kld		 4		 3		 3
p		 h		 pot		 4		 2		 3
p		 h		 pot		 3		 2		 4
p		 h		 pot		 3		 3		 0
p		 h		 pot		 1		 1		 2
p		 h		 kld		 4		 3		 0
p		 h		 kld		 1		 2		 2
p		 h		 kld		 1		 1		 3
p		 h		 kld		 4		 1		 0
################################
################################
r		 j		 pot		 1		 2		 2
r		 j		 pot		 2		 3		 0
r		 j		 pot		 1		 1		 0
r		 j		 pot		 2		 2		 1
r		 j		 kld		 2		 3		 3
r		 j		 kld		 3		 1		 0
r		 j		 kld		 3		 1		 3
r		 j		 kld		 2		 2		 2
r		 h		 pot		 4		 1		 0
r		 h		 pot		 3		 1		 0
r		 h		 pot		 1		 3		 3
r		 h		 pot		 4		 2		 3
r		 h		 kld		 3		 3		 2
r		 h		 kld		 1		 2		 3
r		 h		 kld		 2		 2		 1
r		 h		 kld		 2		 1		 5
