Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM
r		 h		 pot		 5		 1		 0
r		 h		 pot		 5		 3		 3
r		 h		 pot		 3		 1		 3
r		 h		 pot		 5		 2		 4
r		 h		 kld		 1		 3		 4
r		 h		 kld		 1		 2		 2
r		 h		 kld		 3		 1		 1
r		 h		 kld		 2		 3		 3
r		 j		 pot		 5		 3		 3
r		 j		 pot		 4		 3		 1
r		 j		 pot		 4		 3		 3
r		 j		 pot		 4		 1		 1
r		 j		 kld		 2		 1		 3
r		 j		 kld		 2		 2		 3
r		 j		 kld		 4		 3		 2
r		 j		 kld		 2		 3		 1
################################
################################
p		 j		 pot		 2		 3		 1
p		 j		 pot		 1		 3		 2
p		 j		 pot		 4		 1		 0
p		 j		 pot		 1		 2		 2
p		 j		 kld		 3		 1		 0
p		 j		 kld		 4		 1		 2
p		 j		 kld		 2		 1		 3
p		 j		 kld		 4		 2		 3
p		 h		 pot		 3		 1		 0
p		 h		 pot		 2		 2		 4
p		 h		 pot		 2		 3		 2
p		 h		 pot		 4		 3		 3
p		 h		 kld		 2		 3		 4
p		 h		 kld		 2		 1		 5
p		 h		 kld		 3		 1		 5
p		 h		 kld		 4		 2		 5
