Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM
p		 j		 pot		 4		 3		 1
p		 j		 pot		 2		 3		 0
p		 j		 pot		 3		 1		 1
p		 j		 pot		 2		 1		 3
p		 j		 kld		 1		 3		 3
p		 j		 kld		 2		 2		 0
p		 j		 kld		 4		 3		 3
p		 j		 kld		 3		 2		 1
p		 h		 pot		 3		 3		 2
p		 h		 pot		 2		 2		 0
p		 h		 pot		 3		 2		 2
p		 h		 pot		 2		 3		 4
p		 h		 kld		 4		 1		 4
p		 h		 kld		 1		 3		 4
p		 h		 kld		 2		 1		 5
p		 h		 kld		 1		 1		 5
################################
################################
r		 h		 pot		 5		 2		 2
r		 h		 pot		 5		 2		 5
r		 h		 pot		 4		 3		 3
r		 h		 pot		 2		 3		 0
r		 h		 kld		 4		 2		 5
r		 h		 kld		 1		 1		 4
r		 h		 kld		 1		 3		 1
r		 h		 kld		 3		 2		 3
r		 j		 pot		 1		 3		 3
r		 j		 pot		 1		 2		 2
r		 j		 pot		 3		 2		 1
r		 j		 pot		 4		 2		 2
r		 j		 kld		 5		 3		 0
r		 j		 kld		 1		 1		 2
r		 j		 kld		 1		 1		 1
r		 j		 kld		 2		 3		 3
