Tasks 	 Inter 	 Assis 	 Goal 	 Home 	 InitM
r		 j		 pot		 5		 2		 1
r		 j		 pot		 3		 1		 0
r		 j		 pot		 3		 1		 2
r		 j		 pot		 3		 2		 2
r		 j		 kld		 4		 1		 2
r		 j		 kld		 5		 1		 2
r		 j		 kld		 1		 3		 2
r		 j		 kld		 5		 2		 0
r		 h		 pot		 3		 2		 0
r		 h		 pot		 2		 3		 1
r		 h		 pot		 3		 1		 3
r		 h		 pot		 1		 1		 5
r		 h		 kld		 4		 3		 3
r		 h		 kld		 2		 1		 4
r		 h		 kld		 4		 1		 2
r		 h		 kld		 2		 1		 2
################################
################################
p		 j		 pot		 2		 1		 2
p		 j		 pot		 4		 2		 2
p		 j		 pot		 2		 2		 2
p		 j		 pot		 2		 3		 0
p		 j		 kld		 3		 3		 2
p		 j		 kld		 3		 1		 2
p		 j		 kld		 2		 2		 2
p		 j		 kld		 3		 3		 3
p		 h		 pot		 1		 3		 0
p		 h		 pot		 1		 1		 3
p		 h		 pot		 4		 1		 2
p		 h		 pot		 2		 2		 4
p		 h		 kld		 3		 1		 0
p		 h		 kld		 4		 1		 0
p		 h		 kld		 2		 2		 2
p		 h		 kld		 4		 3		 3
